Game Name,Launch Date,Price,Image,Description
War Thunder,"15 Aug, 2013",Free,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/236390/d6eec132c5925402220faece0a4a83131332852f/capsule_sm_120.jpg?t=1753375859,"War Thunder is the most comprehensive free-to-play, cross-platform, MMO military game dedicated to aviation, armoured vehicles, and naval craft, from the early 20th century to the most advanced modern combat units. Join now and take part in major battles on land, in the air, and at sea."
Dota 2,"9 Jul, 2013",Free,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/570/capsule_sm_120.jpg?t=1753914920,"Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own."
DOOM: The Dark Ages,"14 May, 2025","₹4,499.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3017860/4b39d554fb3b3a48ff02e2f05bba7186a58052ce/capsule_sm_120.jpg?t=1749758252,No description found
Against the Storm - Nightwatchers,"31 Jul, 2025",₹449.00,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3725110/09e7dda51b3470267ca4902ffb395fcfe9a65de2/capsule_sm_120.jpg?t=1753982319,No description found
NARAKA: BLADEPOINT,"11 Aug, 2021",Free,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1203220/e3799623f5193c5d3b74c0b06a57ee0c24d893f3/capsule_sm_120.jpg?t=1753683770,"Dive into the legends of the Far East in NARAKA: BLADEPOINT; team up with friends in fast-paced melee fights for a Battle Royale experience unlike any other. Find your playstyle with a varied cast of heroes with unique skills. More than 20 million players have already joined the fray, play free now!"
EA SPORTS FC™ 26,"25 Sep, 2025","₹3,999.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3405690/abca0fd9695521a046d407327d82f808162315f7/capsule_sm_120.jpg?t=1753783304,"The Club is Yours in EA SPORTS FC™ 26. Play your way with an overhauled gameplay experience powered by community feedback, Manager Live Challenges that bring fresh storylines to the new season, and Archetypes inspired by greats of the game."
Mafia: The Old Country,"7 Aug, 2025","₹2,899.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1941540/4cba4ed7de77ea84d94e22eef5cd8c9b284e5b25/capsule_sm_120.jpg?t=1753995144,"Uncover the origins of organized crime in Mafia: The Old Country, a gritty mob story set in the brutal underworld of 1900s Sicily. Fight to survive as Enzo Favara and prove your worth to the Family in this immersive third-person action-adventure."
"Warhammer 40,000: Space Marine 2","9 Sep, 2024","₹1,539.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2183900/capsule_sm_120.jpg?t=1751643527,Embody the superhuman skill and brutality of a Space Marine. Unleash deadly abilities and devastating weaponry to obliterate the relentless Tyranid swarms. Defend the Imperium in spectacular third-person action in solo or multiplayer modes.
Borderlands 4,"12 Sep, 2025","₹3,999.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1285190/7f4b1a9cbe01d19fdcbf10ef5dce492098ef0ba8/capsule_sm_120.jpg?t=1752528595,No description found
Witchfire,"23 Sep, 2024","₹1,280.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3156770/06e4bc261c1c0eb9b46c0a288555ecfe0ab51c2f/capsule_sm_120.jpg?t=1753719439,Witchfire is a first-person dark fantasy RPG shooter in which you play as a wicked sinner turned witch hunter on his final mission to reach salvation.
Street Fighter™ 6,"1 Jun, 2023","₹2,499.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1364780/839acb399b7e6ccc7c66b921d4c037ae4e224acf/capsule_sm_120_alt_assets_15.jpg?t=1752729342,"Here comes Capcom’s newest challenger! Street Fighter™ 6 launches worldwide on June 2nd, 2023 and represents the next evolution of the Street Fighter™ series! Street Fighter 6 spans three distinct game modes, including World Tour, Fighting Ground and Battle Hub."
Baldur's Gate 3,"3 Aug, 2023","₹2,999.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1086940/3dd81008e9c385caf68152450c22353f6a8abec9/capsule_sm_120.jpg?t=1748346026,No description found
HELLDIVERS™ 2,"8 Feb, 2024","₹2,499.00",https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/553850/3bfaabaa23c8e1ca72c558782d7c7ff4cbc2e89a/capsule_sm_120.jpg?t=1752524800,No description found
Sifu,"28 Mar, 2023",₹312.00,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2138710/capsule_sm_120.jpg?t=1750341389,No description found
